window,drop,trial,time_ms,bytes,Bps
1,0.0,1,7629,144003,18
1,0.0,2,6727,144003,21
1,0.0,3,8531,144003,16
1,0.0,4,6995,144003,20
1,0.0,5,6894,144003,20
1,0.0,6,8314,144003,17
1,0.0,7,6649,144003,21
1,0.0,8,6768,144003,21
1,0.0,9,6875,144003,20
1,0.0,10,6589,144003,21
1,0.0,11,7990,144003,18
1,0.0,12,6515,144003,22
1,0.0,13,6540,144003,22
1,0.0,14,6530,144003,22
1,0.0,15,6491,144003,22
1,0.01,1,13734,144003,10
1,0.01,2,8557,144003,16
1,0.01,3,9729,144003,14
1,0.01,4,11648,144003,12
1,0.01,5,8540,144003,16
1,0.01,6,9655,144003,14
1,0.01,7,8586,144003,16
1,0.01,8,11646,144003,12
1,0.01,9,7566,144003,19
1,0.01,10,13695,144003,10
1,0.01,11,8510,144003,16
1,0.01,12,7513,144003,19
1,0.01,13,10586,144003,13
1,0.01,14,12567,144003,11
1,0.01,15,11661,144003,12
8,0.0,1,4403,144003,32
8,0.0,2,3703,144003,38
8,0.0,3,3665,144003,39
8,0.0,4,3635,144003,39
8,0.0,5,3626,144003,39
8,0.0,6,3636,144003,39
8,0.0,7,3617,144003,39
8,0.0,8,3664,144003,39
8,0.0,9,3645,144003,39
8,0.0,10,3654,144003,39
8,0.0,11,3649,144003,39
8,0.0,12,3666,144003,39
8,0.0,13,3629,144003,39
8,0.0,14,3643,144003,39
8,0.0,15,3631,144003,39
8,0.01,1,5422,144003,26
8,0.01,2,9239,144003,15
8,0.01,3,6389,144003,22
8,0.01,4,6365,144003,22
8,0.01,5,6380,144003,22
8,0.01,6,5545,144003,25
8,0.01,7,4536,144003,31
8,0.01,8,3647,144003,39
8,0.01,9,4536,144003,31
8,0.01,10,6448,144003,22
8,0.01,11,8116,144003,17
8,0.01,12,6316,144003,22
8,0.01,13,5474,144003,26
8,0.01,14,4518,144003,31
8,0.01,15,4537,144003,31
64,0.0,1,4484,144003,32
64,0.0,2,3671,144003,39
64,0.0,3,3662,144003,39
64,0.0,4,14499,144003,9
64,0.0,5,3644,144003,39
64,0.0,6,3653,144003,39
64,0.0,7,3651,144003,39
64,0.0,8,3636,144003,39
64,0.0,9,3654,144003,39
64,0.0,10,3646,144003,39
64,0.0,11,3657,144003,39
64,0.0,12,16041,144003,8
64,0.0,13,3637,144003,39
64,0.0,14,3610,144003,39
64,0.0,15,3634,144003,39
64,0.01,1,4439,144003,32
64,0.01,2,3875,144003,37
64,0.01,3,3708,144003,38
64,0.01,4,3637,144003,39
64,0.01,5,4261,144003,33
64,0.01,6,3926,144003,36
64,0.01,7,13702,144003,10
64,0.01,8,13709,144003,10
64,0.01,9,4224,144003,34
64,0.01,10,3703,144003,38
64,0.01,11,3653,144003,39
64,0.01,12,3632,144003,39
64,0.01,13,3661,144003,39
64,0.01,14,4171,144003,34
64,0.01,15,4024,144003,35
